"Year","LocationAbbr","LocationDesc","DataSource","TopicType","TopicDesc","MeasureDesc","Variable","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","GeoLocation","Topic Type ID","Topic ID","Measure ID","SubMeasureID","DisplayOrder"
"2009","RI","Rhode Island","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Other","$","Millions of Dollars","47.2","*","Other expenditures include home health care, durable and nondurable medical equipment, and other professional services.","  RI  (41.708280193, -71.522470314)","HLT","501HLT","520SAE","SAE006","06"
"2007","SD","South Dakota","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Nursing Home","$","Millions of Dollars","29.2",,,"  SD  (44.353130053, -100.373530637)","HLT","501HLT","520SAE","SAE005","05"
"2009","NH","New Hampshire","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Other","$","Millions of Dollars","41.4","*","Other expenditures include home health care, durable and nondurable medical equipment, and other professional services.","  NH  (43.655950113, -71.50036092)","HLT","501HLT","520SAE","SAE006","06"
"2006","MD","Maryland","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Prescription Drugs","$","Millions of Dollars","465.2",,,"  MD  (39.290580964, -76.609260111)","HLT","501HLT","520SAE","SAE004","04"
"2009","LA","Louisiana","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Other","$","Millions of Dollars","117.5","*","Other expenditures include home health care, durable and nondurable medical equipment, and other professional services.","  LA  (31.312660644, -92.445680071)","HLT","501HLT","520SAE","SAE006","06"
"2006","TN","Tennessee","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Prescription Drugs","$","Millions of Dollars","555.8",,,"  TN  (35.68094058, -85.774490914)","HLT","501HLT","520SAE","SAE004","04"
"2005","WI","Wisconsin","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Ambulatory","$","Millions of Dollars","376.0",,,"  WI  (44.393191174, -89.816370742)","HLT","501HLT","520SAE","SAE002","02"
"2005","LA","Louisiana","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Prescription Drugs","$","Millions of Dollars","319.0",,,"  LA  (31.312660644, -92.445680071)","HLT","501HLT","520SAE","SAE004","04"
"2007","MO","Missouri","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Prescription Drugs","$","Millions of Dollars","503.5",,,"  MO  (38.635790776, -92.566300053)","HLT","501HLT","520SAE","SAE004","04"
"2008","TX","Texas","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Hospital","$","Millions of Dollars","4,369.6",,,"  TX  (31.827240407, -99.426770206)","HLT","501HLT","520SAE","SAE003","03"
"2005","NV","Nevada","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Other","$","Millions of Dollars","45.2","*","Other expenditures include home health care, durable and nondurable medical equipment, and other professional services.","  NV  (39.49324039, -117.071840564)","HLT","501HLT","520SAE","SAE006","06"
"2005","TN","Tennessee","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Hospital","$","Millions of Dollars","1,082.5",,,"  TN  (35.68094058, -85.774490914)","HLT","501HLT","520SAE","SAE003","03"
"2009","NM","New Mexico","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Other","$","Millions of Dollars","80.0","*","Other expenditures include home health care, durable and nondurable medical equipment, and other professional services.","  NM  (34.520880952, -106.240580985)","HLT","501HLT","520SAE","SAE006","06"
"2008","UT","Utah","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Total","$","Millions of Dollars","513.6","†","Excludes dental expenditures","  UT  (39.360700171, -111.587130635)","HLT","501HLT","520SAE","SAE001","01"
"2009","ND","North Dakota","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Hospital","$","Millions of Dollars","180.8",,,"  ND  (47.475319779, -100.118421049)","HLT","501HLT","520SAE","SAE003","03"
"2007","AR","Arkansas","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Ambulatory","$","Millions of Dollars","172.2",,,"  AR  (34.748650124, -92.274490743)","HLT","501HLT","520SAE","SAE002","02"
"2006","PA","Pennsylvania","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Nursing Home","$","Millions of Dollars","596.7",,,"  PA  (40.793730152, -77.860700294)","HLT","501HLT","520SAE","SAE005","05"
"2007","ND","North Dakota","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Nursing Home","$","Millions of Dollars","28.1",,,"  ND  (47.475319779, -100.118421049)","HLT","501HLT","520SAE","SAE005","05"
"2009","TN","Tennessee","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Hospital","$","Millions of Dollars","1,278.5",,,"  TN  (35.68094058, -85.774490914)","HLT","501HLT","520SAE","SAE003","03"
"2009","UT","Utah","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Ambulatory","$","Millions of Dollars","78.0",,,"  UT  (39.360700171, -111.587130635)","HLT","501HLT","520SAE","SAE002","02"
"2008","CA","California","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Hospital","$","Millions of Dollars","6,415.3",,,"  CA  (37.638640123, -120.999999538)","HLT","501HLT","520SAE","SAE003","03"
"2006","MI","Michigan","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Hospital","$","Millions of Dollars","2,251.5",,,"  MI  (44.661319543001, -84.71439027)","HLT","501HLT","520SAE","SAE003","03"
"2006","CO","Colorado","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Total","$","Millions of Dollars","1,570.5","†","Excludes dental expenditures","  CO  (38.843840757, -106.133610921)","HLT","501HLT","520SAE","SAE001","01"
"2005","WI","Wisconsin","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Total","$","Millions of Dollars","2,189.5","†","Excludes dental expenditures","  WI  (44.393191174, -89.816370742)","HLT","501HLT","520SAE","SAE001","01"
"2007","RI","Rhode Island","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Nursing Home","$","Millions of Dollars","61.2",,,"  RI  (41.708280193, -71.522470314)","HLT","501HLT","520SAE","SAE005","05"
"2008","CT","Connecticut","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Total","$","Millions of Dollars","1,952.4","†","Excludes dental expenditures","  CT  (41.56266102, -72.649840952)","HLT","501HLT","520SAE","SAE001","01"
"2005","MO","Missouri","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Other","$","Millions of Dollars","114.3","*","Other expenditures include home health care, durable and nondurable medical equipment, and other professional services.","  MO  (38.635790776, -92.566300053)","HLT","501HLT","520SAE","SAE006","06"
"2009","NC","North Carolina","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Ambulatory","$","Millions of Dollars","518.6",,,"  NC  (35.466220975, -79.159250463)","HLT","501HLT","520SAE","SAE002","02"
"2006","HI","Hawaii","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Hospital","$","Millions of Dollars","226.3",,,"  HI  (21.304850435, -157.857749403)","HLT","501HLT","520SAE","SAE003","03"
"2007","DE","Delaware","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Nursing Home","$","Millions of Dollars","38.8",,,"  DE  (39.008830667, -75.577741168)","HLT","501HLT","520SAE","SAE005","05"
"2006","SC","South Carolina","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Ambulatory","$","Millions of Dollars","234.6",,,"  SC  (33.998821303, -81.045371207)","HLT","501HLT","520SAE","SAE002","02"
"2008","ND","North Dakota","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Other","$","Millions of Dollars","16.0","*","Other expenditures include home health care, durable and nondurable medical equipment, and other professional services.","  ND  (47.475319779, -100.118421049)","HLT","501HLT","520SAE","SAE006","06"
"2009","SD","South Dakota","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Prescription Drugs","$","Millions of Dollars","51.4",,,"  SD  (44.353130053, -100.373530637)","HLT","501HLT","520SAE","SAE004","04"
"2009","AR","Arkansas","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Total","$","Millions of Dollars","1,215.1","†","Excludes dental expenditures","  AR  (34.748650124, -92.274490743)","HLT","501HLT","520SAE","SAE001","01"
"2008","AR","Arkansas","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Nursing Home","$","Millions of Dollars","101.2",,,"  AR  (34.748650124, -92.274490743)","HLT","501HLT","520SAE","SAE005","05"
"2008","KS","Kansas","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Prescription Drugs","$","Millions of Dollars","179.8",,,"  KS  (38.3477403, -98.200781227)","HLT","501HLT","520SAE","SAE004","04"
"2009","HI","Hawaii","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Nursing Home","$","Millions of Dollars","33.3",,,"  HI  (21.304850435, -157.857749403)","HLT","501HLT","520SAE","SAE005","05"
"2005","OK","Oklahoma","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Nursing Home","$","Millions of Dollars","90.4",,,"  OK  (35.472031356, -97.521070214)","HLT","501HLT","520SAE","SAE005","05"
